Title,Condition,Price,Shipping,Location,Sold Date,Rating,Sold After 2/22/26,US Seller,Log of Price,Log of Shipping
2019-20 Upper Deck Jack Hughes Young Guns Rookie PSA 10 USA! New Jersey Devils,New (Other),250.0,4.47,Located in United States,2026-04-21,5.0,1,1,5.521460917862246,1.6992786164338898
2019 Upper Deck Jack Hughes Young Guns PSA 10 OLYMPIC HERO 🥇 🇺🇸,New (Other),259.99,5.97,Located in United States,2026-04-20,5.0,1,1,5.5606431687374025,1.9416152247724325
2019 Upper Deck Jack Hughes Young Guns Psa 9 RC,New (Other),135.0,5.28,Located in United States,2026-04-20,5.0,1,1,4.90527477843843,1.8373699804801074
2019-20 Jack Hughes Upper Deck UD Canvas Young Guns #C239 PSA 10 GEM MT Rookie,New (Other),202.45,0.0,Located in United States,2026-04-20,5.0,1,1,5.31049294247817,0.0
Jack Hughes Young Guns PSA 10 2019-20 Upper Deck #201 GEM MINT Devils RC,New (Other),233.93,16.5,Located in Canada,2026-04-19,,1,0,5.455021925305676,2.8622008809294686
2019-20 Upper Deck Speckled Rainbow Foil Jack Hughes & Quinn PSA 10 GEM MT 10aa,New (Other),428.0,4.99,Located in United States,2026-04-19,,1,1,6.059123195581797,1.7900914121273581
2019-20 UD YOUNG GUNS CLEAR CUT ACETATE Rookie JACK & QUINN Hughes #250 PSA 10,New (Other),292.46,14.62,Located in Canada,2026-04-19,,1,0,5.678327905183733,2.7485521444115397
2019-20 Upper Deck Jack Hughes #201 Young Guns Rookie PSA 9,New (Other),128.68,0.0,Located in United States,2026-04-18,5.0,1,1,4.857328702370825,0.0
2019-20 Jack Hughes UD Young Guns Speckled Rainbow PSA 10!,New (Other),1999.0,5.97,Located in United States,2026-04-18,,1,1,7.6004023345004,1.9416152247724325
2019-20 UD YOUNG GUNS CLEAR CUT ACETATE Rookie JACK & QUINN Hughes #250 PSA 10,New (Other),229.0,5.48,Located in United States,2026-04-18,,1,1,5.43372200355424,1.8687205103641833
2019-20 Upper Deck Jack Hughes #201 Young Guns Rookie PSA 10,New (Other),239.86,0.0,Located in United States,2026-04-18,5.0,1,1,5.480055419803575,0.0
2019-20 Upper Deck - Young Guns - Jack Hughes - Rookie RC - SGC 10,New (Other),165.0,5.89,Located in United States,2026-04-18,5.0,1,1,5.10594547390058,1.9300710850255671
JACK HUGHES PSA 10 2019-20 UPPER DECK #201 ROOKIE YOUNG GUNS RC DEVILS 8558,New (Other),240.0,6.0,Located in United States,2026-04-17,5.0,1,1,5.480638923341991,1.9459101490553132
2019-20 Upper Deck - Young Guns - Jack Hughes - Rookie RC - SGC 10,New (Other),125.0,5.0,Located in United States,2026-04-16,5.0,1,1,4.8283137373023015,1.791759469228055
2019-20 Upper Deck Jack Hughes Young Guns Rookie RC Silver Foil #201 PSA 10,New (Other),1399.99,4.5,Located in United States,2026-04-17,,1,1,7.244220372720696,1.7047480922384253
JACK HUGHES 2019-20 Upper Deck Deck Young Guns RC #201 PSA 10 New Jersey Devils,New (Other),217.88,24.06,Located in Canada,2026-04-16,,1,0,5.383944452515474,3.221272949467922
Jack Hughes - 2019-20 UD Young Guns PSA 10 GEM MINT Card #201 🔥🔥,New (Other),201.07,16.09,Located in Canada,2026-04-16,,1,0,5.303653106137555,2.8384934971274993
Jack Hughes Young Guns Renewed PSA 10 New Jersey Devils USA 2024 Upper Deck,New (Other),94.96,5.99,Located in United States,2026-04-16,,1,1,4.553455750301413,1.944480556245719
JACK HUGHES PSA 10 2019-20 UPPER DECK #201 ROOKIE YOUNG GUNS RC DEVILS 8558,New (Other),240.0,6.0,Located in United States,2026-04-16,5.0,1,1,5.480638923341991,1.9459101490553132
"2019-20 Upper Deck - Ud Canvas Young Guns Checklist Jack Hughes, Quinn Hughes...",New (Other),99.99,5.62,Located in United States,2026-04-15,,1,1,4.605070180987758,1.890095369948917
2019-20 Upper Deck - Young Guns Jack Hughes #201 (RC),New (Other),180.0,0.0,Located in United States,2026-04-14,5.0,1,1,5.19295685089021,0.0
2019-20 Upper Deck - Young Guns Jack Hughes #201 (RC),New (Other),200.0,10.0,Located in United States,2026-04-14,5.0,1,1,5.298317366548036,2.3978952727983707
2019-20 Upper Deck - Young Guns Jack Hughes SGC 10,New (Other),170.0,3.0,Located in United States,2026-04-14,5.0,1,1,5.135798437050262,1.3862943611198906
2019-20 Upper Deck - Young Guns Jack Hughes #201 (RC).,New (Other),400.0,10.0,Located in United States,2026-04-14,5.0,1,1,5.991464547107982,2.3978952727983707
2019-20 Upper Deck #C240 Jack Hughes/Quinn Hughes Young Gun Checklist SGC 10 GM!,New (Other),199.99,5.99,Located in United States,2026-04-13,,1,1,5.2982673652979955,1.944480556245719
2019-20 Upper Deck Young Guns Jack Hughes RC Rookie PSA 9,New (Other),131.6,11.03,Located in Canada,2026-04-13,,1,0,4.879767018891217,2.4874035299865875
2019-20 Jack Hughes Young Guns YG Rookie RC PSA 10 GEM MT Devils USA Golden Goal,New (Other),217.15,16.5,Located in Canada,2026-04-12,,1,0,5.380588358980831,2.8622008809294686
Jack Hughes Young Guns ROOKIE PSA 10 Graded Hockey Card 2019 RC Devils,New (Other),219.35,11.33,Located in Canada,2026-04-12,,1,0,5.390668627612223,2.512035317176253
Jack Hughes 2019 O-Pee-Chee Glossy Rookie PSA 9 Devils RC - Gold Medal!,New (Other),84.99,5.62,Located in United States,2026-04-12,,1,1,4.442533602510535,1.890095369948917
JACK HUGHES 2019-20 Upper Deck Young Guns #201 (RC) PSA 10 New Jersey Devils,New (Other),274.99,0.0,Located in United States,2026-04-11,5.0,1,1,5.616734733369035,0.0
19/20 2019 UPPER DECK JACK HUGHES #201 YOUNG GUNS ROOKIE RC PSA 10 GEM MINT,New (Other),249.99,0.0,Located in Canada,2026-04-10,5.0,1,0,5.521420917062225,0.0
2019-20 Series 1 Jack Hughes Young Guns PSA 10,New (Other),201.07,20.63,Located in Canada,2026-04-10,,1,0,5.303653106137555,3.0740812399649675
2019 Jack Hughes O-Pee-Chee OPC Update Retro Marquee Rookie PSA 10,New (Other),160.0,5.62,Located in United States,2026-04-10,,1,1,5.075173815233827,1.890095369948917
